biomass,VM,FC,ASH,C,H,O,N,S,HHV
alder-fir sawdust,76.6,19.2,4.2,50.9,5.84,38.5,0.5,0.04,19.949
balsam bark,77.4,20,2.6,52.6,6.04,38.5,0.2,0.1,20.597
beech bark,73.7,18.5,7.8,47.4,5.53,38.5,0.6,0.1,18.624
birch bark,78.5,19.4,2.1,55.8,6.56,35,0.5,0.1,21.865
Christmas trees,74.2,20.7,5.1,51.7,5.6,36.7,0.5,0.4,19.973
elm bark,73.1,18.8,8.1,46.8,5.33,39.1,0.6,0.1,18.306
eucalyptus bark,78,17.2,4.8,46.3,5.42,43.1,0.3,0.05,18.352
fir mill residue,82,17.5,0.5,51.1,5.97,42.3,0.1,0.03,20.203
forest residue,79.9,16.9,3.2,51,5.23,39.8,0.7,0.1,19.589
hemlock bark,72,25.5,2.5,53.6,5.75,37.8,0.2,0.1,20.699
maple bark,76.6,19.4,4,49.9,5.95,39.6,0.4,0.11,19.738
oak sawdust,86.3,13.4,0.3,49.9,5.88,43.8,0.1,0.01,19.818
oak wood,78.1,21.4,0.5,50.3,6.07,42.7,0.3,0.1,20.051
olive wood,79.6,17.2,3.2,47.4,5.23,43.5,0.7,0.03,18.574
pine bark,73.7,24.4,1.9,52.8,5.79,39.2,0.3,0.07,20.508
pine chips,72.4,21.6,6,49.6,5.73,38.1,0.5,0.08,19.451
pine pruning,82.2,15.1,2.7,50.5,6.13,40.2,0.5,0.01,20.062
pine sawdust,83.1,16.8,0.1,50.9,5.99,42.9,0.1,0.01,20.181
poplar,85.6,12.3,2.1,50.5,5.97,40.8,0.6,0.02,19.978
poplar bark,80.3,17.5,2.2,52.4,6.55,38.4,0.3,0.1,20.904
sawdust,84.6,14.3,1.1,49.2,5.93,43.2,0.5,0.02,19.629
spruce bark,73.4,23.4,3.2,51.9,6,38.7,0.1,0.1,20.353
spruce wood,81.2,18.3,0.5,52,6.07,41,0.3,0.1,20.527
tamarack bark,69.5,26.3,4.2,54.6,9.77,30.7,0.7,0.11,23.608
willow,82.5,15.9,1.6,49,6,42.7,0.6,0.06,19.599
wood,84.1,15.7,0.2,49.5,6.09,44,0.1,0.06,19.841
wood residue,78,16.6,5.4,48.6,5.77,39.6,0.5,0.08,19.213
arundo grass,80.2,16.4,3.4,47,5.89,43,0.6,0.13,18.904
bamboo whole,81.6,17.5,0.9,51.5,5.05,42.1,0.4,0.04,19.685
bana grass,73.6,16.6,9.8,45.2,5.41,38.7,0.8,0.12,17.856
buffalo gourd grass,81.6,13.7,4.7,43.9,6.2,42.4,2.5,0.26,18.198
